id,steady_state,initial
13dpg,2.28927E-4,0.000228
23dpg,4.6545,4.65
2pg,0.0123,0.01226
3pg,0.0839,0.0839
6pgc,0.0375,0.0374
6pgl,0.0018,0.001759
ade,0.001,0.00103
adn,5.1923E-5,5.19E-5
adp,0.4902,0.492
amp,0.1488,0.148
atp,2.4016,2.401
dhap,0.1474,0.147 
e4p,0.0051,0.00507
f6p,0.0272,0.0272
fdp,0.0139,0.01386
g3p,6.7E-3,0.00669
g6p,0.0664,0.066
hxan,2.2604E-4,0.000226
imp,1.92849E-2,0.0192
ins,4.27616E-5,4.27E-5
k,139.882,139.882
lac-D,1.39709,1.398
na1,14.1352,14.135
nadh,3.059E-2,0.030592
nadph,0.06559,0.0659
pep,0.0208,0.02087
prpp,0.0136,0.0136
pyr,0.06,0.062
r1p,0.0011,0.0117
ru5p-D,4.93E-3,0.00493
s7p,2.39E-2,0.02398
xu5p-D,1.47E2,0.01478
r5p,0.01266,0.01266

